path	final_status	redirect_count	final_url	bytes	first_hop
/account/register	406	1	https://shopify.com/60736798784/account?locale=en&buyer_flags=eyJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJxbXB5MTAtdW4ubXlzaG9waWZ5LmNvbSIsImZsYWdzIjpbXSwiZXhwIjoxNzkwODY2ODU5LCJuYmYiOjE3OTAyNjIwNTl9.Qrk_TQpiRoyKVz78Q8KCvL11VWaDdlHjq7Th13_m1bw	14	first:302 https://shopify.com/60736798784/account?locale=en&buyer_flags=eyJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJxbXB5MTAtdW4ubXlzaG9waWZ5LmNvbSIsImZsYWdzIjpbXSwiZXhwIjoxNzkwODY2ODYwLCJuYmYiOjE3OTAyNjIwNjB9.hBpeMWT8NJNI_odAp7TzrXcwH9NyfPIqvzX51zzOK8o
/this-page-does-not-exist-audit-404	404	0	https://sparky3dcraft.tech/this-page-does-not-exist-audit-404	81285	first:404 
/products/does-not-exist-404	404	0	https://sparky3dcraft.tech/products/does-not-exist-404	81285	first:404 
/collections/does-not-exist-404	404	0	https://sparky3dcraft.tech/collections/does-not-exist-404	81285	first:404 
/collections/frontpage	404	0	https://sparky3dcraft.tech/collections/frontpage	81285	first:404 
/checkout	200	5	https://sparky3dcraft.tech/	117369	first:302 https://sparky3dcraft.tech/checkouts/cn/hWNHCnpsluQsjurB0GhzF9zW/en-in?_r=AQAB7fskMQrdz8v0TYLdu2s2jMgJGK0EkRo0OWFsl3eD
/agents.md	200	0	https://sparky3dcraft.tech/agents.md	4272	first:200 
/.well-known/ucp	200	0	https://sparky3dcraft.tech/.well-known/ucp	4317	first:200 
/sitemap.xml	200	0	https://sparky3dcraft.tech/sitemap.xml	888	first:200 
/robots.txt	200	0	https://sparky3dcraft.tech/robots.txt	3640	first:200 
/cart.js	200	0	https://sparky3dcraft.tech/cart.js	303	first:200 
